510,Oxgangs Hill - Caiystane Gardens,Green Corridors,0.8664
511,Camus Avenue,Other semi-natural greenspace,1.2266
512,Fairmilehead Park,Public Parks & Gardens,5.4742
514,Oxgangs Road North,Residential,0.9968
516,Cockit Hat Plantation,Other semi-natural greenspace,0.7857
517,Oxgangs Broadway,Residential,0.7970
519,Hunter's Tryst Plantation,Other semi-natural greenspace,2.8104
523,Tryst Park,Residential,1.4236
524,Hainburn park,Residential,0.6438
528,Biggar Road,Other semi-natural greenspace,0.9143
530,Galachlaw,Other semi-natural greenspace,7.6729
532,Buckstone Circle,Other semi-natural greenspace,1.3113
533,Buckstone Circle,Residential,0.7361
537,Seven Acre Park (Alnwickhill),Public Parks & Gardens,4.5747
538,Mortonhall Cemetery,Cemetery,11.0718
540,Mortonhall Community Park,Residential,2.2453
554,River Almond,Green Corridors,3.1891
555,River Almond,Green Corridors,3.5387
556,Cramond Foreshore,Public Parks & Gardens,17.7512
563,Saughton Mains Park,Residential,3.2444
564,Burdiehouse Burn Valley Park inc Moredun Wood,Semi-natural Park,2.7389
565,Burdiehouse Burn Valley Park inc Moredun Wood,Semi-natural Park,3.3974
566,Moredun Woods,Semi-natural Park,3.9694
570,Carnbee Park,Institutions,0.6488
571,Gilmerton Dykes Crescent,Residential,0.6144
576,Craigour Green,Residential,5.2873
579,Moredun Park (Gilmerton Park),Public Parks & Gardens,2.1254
580,Ferniehill Community Park,Public Parks & Gardens,1.9409
581,Moredunvale Park,Residential,1.0574
582,Moredunvale Grove,Residential,0.7560
588,Drum Park,Public Parks & Gardens,2.1720
592,Peacocktail Close,Residential,1.2751
593,Cleikiminfield,Residential,1.9761
594,Newcraighall Park,Public Parks & Gardens,3.3647
595,Newcraighall Road,Residential,0.5969
597,Brunstane Burn,Green Corridors,2.1506
603,Buckstone Playing Field,Playing Field,0.9081
607,Howden Hall Crescent,Residential,1.1922
612,Braid Burn Complex,Green Corridors,0.7140
614,Inch Park,Public Parks & Gardens,25.2801
624,Mount Vernon Road,Residential,0.9676
625,Mount Vernon Cemetery,Cemetery,4.4861
627,Liberton Park,Public Parks & Gardens,4.4108
628,St Katharines Park (Liberton Gardens),Public Parks & Gardens,3.9821
631,Liberton Cemetery,Cemetery,2.8315
636,Burdiehouse Burn Valley Park inc Moredun Wood,Semi-natural Park,1.9416
637,East Kilngate,Residential,1.0631
647,Niddrie Mains Terrace,Residential,1.2365
659,Holyrood Park Recreation Area,Civic space,1.1523
661,George Square,Public Parks & Gardens,1.9294
662,Gorgie City Farm,Other,0.9024
665,Festival Square & Conference Square,Civic space,0.9093
666,Harvester Way - Clovenstone Road,Green Corridors,2.1426
671,Cramond House - Cramond Road North,Green Corridors,2.7266
673,Dumbiedykes,Residential,1.0088
676,Cramond Tower,Other semi-natural greenspace,1.9948
681,Forrester Park,Residential,0.8557
682,Viewcraig Garden Recreation Area,Residential,0.5877
683,Disused Railway Network,Green Corridors,1.8657
684,River Almond,Green Corridors,7.2264
685,Broomhouse Drive,Transport,7.8724
687,Cotlaws,Residential,0.9055
696,Kirkliston Cemetery,Churchyards,0.8934
702,Disused Railway Network,Green Corridors,4.1806
704,Former Brunstane Road South,Green Corridors,0.6519
717,Hunters Hall Park (JKC),Public Parks & Gardens,20.6902
718,Portobello Cemetery,Cemetery,3.2001
719,Gilberstoun Loan,Residential,0.5224
720,Portobello Promenade,Civic space,1.9112
725,Whinhill Park,Public Parks & Gardens,1.6940
729,Regent Road Park,Public Parks & Gardens,2.1356
732,Woodhall Millbrae,Other semi-natural greenspace,0.6555
733,Figgate Burn Park,Public Parks & Gardens,10.9739
736,Baronscourt Park,Public Parks & Gardens,1.4506
744,Muirwood Park,Public Parks & Gardens,1.8167
746,Harmeny Wood,Other semi-natural greenspace,0.5963
748,Deanpark Bank,Residential,0.5400
752,Lanark Road West - Currievale,Green Corridors,2.9128
757,Forth Place/Clufflat Brae,Residential,0.6061
760,Echline Avenue,Residential,0.6111
761,Echline Gardens,Residential,0.5115
762,Echline Grove/Stoneyflatts Crescent,Residential,1.9661
763,Bo'ness Road,Other semi-natural greenspace,0.5932
772,Main Street/Dalmeny,Residential,0.7970
775,Disused Railway Network,Green Corridors,1.8357
778,Meadows Yard,Semi-natural Park,1.0459
785,Hopetoun Road,Green Corridors,4.3881
786,Inchcolm Terrace,Residential,0.9999
787,"Incholm Park, S Queensferry",Public Parks & Gardens,0.7324
788,South Queensferry Cemetery,Cemetery,1.0237
807,Warriston Crematorium,Cemetery,0.6608
812,Easter Craiglockhart Hill,Semi-natural Park,10.2208
815,Union Canal,Green Corridors,0.7508
816,Union Canal,Green Corridors,1.1652
817,Union Canal,Green Corridors,0.7406
818,Disused Railway Network,Green Corridors,1.0346
819,"Dundas Park, S Queensferry",Public Parks & Gardens,3.9999
820,Scotstoun Park,Residential,1.2074
824,Clovenstone Gardens/Park,Green Corridors,2.7810
825,Maitland Hog Lane,Residential,1.9487
827,Union Canal,Green Corridors,1.1789
840,Clermiston Road,Residential,0.6309
858,Union Canal,Green Corridors,0.6175
863,Dumbiedykes,Residential,1.8555
864,Greyfriars Churchyard,Churchyards,2.0359
869,"Pikes Pool, Kirkliston",Public Parks & Gardens,6.9671
871,Disused Railway Network,Green Corridors,1.0583
873,Ratho Station Park,Public Parks & Gardens,1.6632
882,South Gyle Wynd - Meadow Place Road,Green Corridors,0.6237
891,Preston Street Cemetery,Cemetery,0.9823
903,Heriot Watt University Sports Centre,Institutions,46.8059
910,Kingsknowe Road North,Residential,0.5228
919,Burdiehouse Burn Valley Park inc Moredun Wood,Green Corridors,4.3679
920,Burdiehouse Burn Valley Park inc Moredun Wood,Semi-natural Park,12.3065
926,Ashburnham Gardens,Green Corridors,0.6226
927,Queensferry escarpment,Green Corridors,1.2309
928,Ferry Glen & Back Braes,Green Corridors,5.6426
929,Ferry Glen & Back Braes,Green Corridors,0.5441
932,Dean Gallery,Institutions,1.2513
935,Brunstane Burn,Green Corridors,3.8589
941,Water of Leith,Green Corridors,5.7439
942,Water of Leith,Green Corridors,1.8370
954,Edinburgh Royal Infirmary,Institutions,8.6900
957,Water of Leith,Green Corridors,0.6387
959,Water of Leith,Green Corridors,2.6121
960,Water of Leith,Green Corridors,3.2867
962,Niddrie Burn Complex,Green Corridors,0.7865
964,Water of Leith,Green Corridors,0.7428
967,Water of Leith,Green Corridors,3.3084
968,Disused Railway Network,Green Corridors,2.7582
971,Craigmillar Castle Park inc Hawkhill,Semi-natural Park,62.6862
975,Water of Leith,Green Corridors,4.1955
979,Fairbrae,Residential,0.6561
982,Niddrie Junction (West),Other semi-natural greenspace,1.4096
983,Niddrie Junction (West),Other semi-natural greenspace,1.9400
984,Disused Railway Network,Green Corridors,1.8697
985,Jewel Park,Public Parks & Gardens,11.4555
989,Inverleith Park,Public Parks & Gardens,20.8972
1001,Bingham Park,Public Parks & Gardens,3.8816
1003,Water of Leith,Green Corridors,2.8952
1009,Calton Hill,Public Parks & Gardens,9.5958
1011,Union Canal,Green Corridors,1.4305
1014,Cammo Estate,Semi-natural Park,38.7123
1015,Marchbank Park,Public Parks & Gardens,6.0021
1017,Newmills Avenue,Residential,0.5328
1018,Curriehill Strip,Other semi-natural greenspace,0.8736
1022,Morningside Park,Public Parks & Gardens,1.2587
1027,Burdiehouse Terrace,Residential,0.5473
1039,Milton Link,Green Corridors,0.6296
1041,Malleny Avenue,Residential,1.1955
1042,Harlaw Road,Other semi-natural greenspace,3.2537
1043,Water of Leith,Green Corridors,0.7262
1045,Buckstone Knoll,Residential,1.1283
1049,Ferniehill,Residential,2.3278
1063,River Almond walkway,Green Corridors,3.7666
1065,Huly Hill,Semi-natural Park,2.6419
1071,Restalrig Road South,Residential,0.6012
1075,Bristo Square,Civic space,0.7501
1077,River Almond,Green Corridors,6.3876
1078,Ratho Park Playing Field,Public Parks & Gardens,1.1723
1082,Ravelston Park,Semi-natural Park,8.8554
1084,Water of Leith,Green Corridors,3.6356
1085,Water of Leith,Green Corridors,4.0041
1086,Colinton & Craiglockhart Dells,Semi-natural Park,24.1419
1087,Redford Wood,Green Corridors,5.3243
1088,Warriston Cemetery,Cemetery,8.3973
1090,Holyrood Park,Semi-natural Park,215.1037
1092,New Calton Cemetery,Cemetery,1.1924
1093,Craigmount High School,Residential,1.1502
1094,West Craigs Crescent,Residential,0.7741
1097,Disused Railway Network,Green Corridors,1.1692
1099,Pentland View Park,Public Parks & Gardens,1.4908
1100,King George V Park  (Currie),Public Parks & Gardens,2.1887
1103,Seafield Recreation Ground,Playing Field,5.5420
1105,Carrick Knowe,Transport,3.7489
1106,Northfield & Willowbrae Community Centre,Playing Field,1.0751
1107,Fernieside Recreation Ground,Playing Field,1.7627
1108,Fernieside Park,Public Parks & Gardens,0.8383
